PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Bobby Portis,2016,186,435,16,52,48,66
Andre Iguodala,2016,176,368,54,154,51,83
Willie Cauley-Stein,2016,191,339,0,2,81,125
John Henson,2016,164,291,0,1,69,117
Luke Babbitt,2016,122,289,44,109,39,50
Donald Sloan,2016,154,350,38,99,78,104
Brandon Jennings,2016,112,303,51,155,57,78
Patrick Patterson,2016,204,493,106,293,29,34
Wesley Johnson,2016,208,515,103,309,30,46
Andrew Nicholson,2016,146,309,41,113,51,65
Seth Curry,2016,102,224,50,111,45,54
Andrea Bargnani,2016,127,278,3,15,47,57
Vince Carter,2016,133,343,59,169,70,84
Josh Richardson,2016,123,272,53,115,42,63
Henry Sims,2016,33,77,0,1,25,30
Kris Humphries,2016,121,295,34,108,67,84
Justise Winslow,2016,196,463,32,116,80,117
Tim Hardaway Jr.,2016,114,264,48,141,50,56
Maurice Harkless,2016,195,411,39,140,69,111
Boris Diaw,2016,202,383,25,69,56,76
Thabo Sefolosha,2016,187,373,42,125,62,99
Leandro Barbosa,2016,171,370,39,111,52,62
Aron Baynes,2016,194,384,0,2,126,165
Shaun Livingston,2016,203,379,2,12,80,93
Timofey Mozgov,2016,203,359,1,7,68,95
Donatas Motiejunas,2016,90,205,16,57,34,53
PJ Hairston,2016,145,408,70,241,50,64
Mike Scott,2016,176,376,62,158,50,63
Paul Pierce,2016,144,397,75,242,54,66
Trey Lyles,2016,191,436,49,127,57,82
TJ McConnell,2016,218,464,31,89,26,41
Mario Hezonja,2016,181,418,67,192,49,54
Dante Cunningham,2016,186,413,55,174,57,82
Josh Smith,2016,127,349,41,143,37,67
Channing Frye,2016,151,347,91,237,30,35
Jonathon Simmons,2016,122,241,18,47,69,92
Alexis Ajinca,2016,150,314,0,1,52,62
Spencer Hawes,2016,124,306,38,102,54,65
Roy Hibbert,2016,182,411,0,2,117,145
JJ Hickson,2016,80,155,0,1,46,103
Raul Neto,2016,180,418,64,162,52,70
Trevor Booker,2016,190,388,12,41,71,106
Jason Terry,2016,151,376,93,261,27,33
Markel Brown,2016,127,322,38,120,71,94
Randy Foye,2016,169,482,75,250,61,74
Dwight Powell,2016,146,296,2,16,105,142
Rondae Hollis-Jefferson,2016,63,138,4,14,37,52
Iman Shumpert,2016,114,305,43,146,40,51
Xavier Munford,2016,32,77,9,23,7,14
Jarell Martin,2016,54,116,0,2,45,62
Greivis Vasquez,2016,45,138,18,73,22,26
Ty Lawson,2016,139,354,36,108,59,86
Bryce Dejean-Jones,2016,28,69,12,32,11,21
Troy Daniels,2016,89,187,59,122,5,9
Richaun Holmes,2016,114,222,8,44,51,74
Jerian Grant,2016,154,391,22,100,96,123
Anthony Morrow,2016,136,333,79,205,29,39
Tiago Splitter,2016,81,155,0,2,39,48
Norman Powell,2016,97,229,36,88,43,53
Richard Jefferson,2016,143,312,66,173,58,87
Larry Nance Jr.,2016,158,300,1,10,32,47
Bismack Biyombo,2016,156,288,0,1,142,226
Andrew Bogut,2016,175,279,1,1,24,50
Ronnie Price,2016,116,302,68,195,31,41
Anthony Tolliver,2016,128,333,98,272,29,47
Tony Snell,2016,126,339,56,155,30,33
Quincy Acy,2016,119,214,19,49,50,68
Charlie Villanueva,2016,125,328,47,173,22,24
Nemanja Bjelica,2016,110,235,48,125,40,55
Tim Frazier,2016,96,230,16,48,53,74
JaKarr Sampson,2016,140,318,14,63,80,122
JaVale McGee,2016,77,134,0,1,18,36
James Johnson,2016,114,240,20,66,39,68
Metta World Peace,2016,55,177,26,84,40,57
Alan Anderson,2016,21,59,12,37,11,15
Cameron Payne,2016,114,278,36,111,19,24
Sasha Vujacic,2016,106,277,52,143,32,39
Spencer Dinwiddie,2016,19,53,1,10,19,33
Andre Roberson,2016,136,274,32,103,33,54
Kyle O'Quinn,2016,129,271,5,22,46,60
Chris McCullough,2016,44,109,13,35,11,23
Beno Udrih,2016,86,197,15,44,18,20
Justin Holiday,2016,88,228,36,105,27,37
Jordan McRae,2016,34,78,10,22,21,28
Kyle Anderson,2016,138,296,12,37,62,83
Tyler Ennis,2016,84,187,13,39,25,34
Marcelo Huertas,2016,97,230,16,61,27,29
Briante Weber,2016,14,39,0,5,3,4
Alonzo Gee,2016,131,254,17,61,44,66
Steve Blake,2016,93,240,52,151,16,20
Jonas Jerebko,2016,118,286,43,108,61,78
Thomas Robinson,2016,130,291,0,1,47,109
CJ Watson,2016,47,137,14,48,34,39
Joakim Noah,2016,51,133,0,1,22,45
Jeff Withey,2016,87,162,0,2,43,59
Brandon Rush,2016,111,260,65,157,18,28
Joe Ingles,2016,124,291,81,210,13,18
Ryan Kelly,2016,55,149,5,37,37,54
Tyus Jones,2016,56,156,16,53,28,39
Solomon Hill,2016,93,208,24,73,36,42
John Jenkins,2016,71,160,16,51,20,24
Elton Brand,2016,31,72,0,1,8,9
Chase Budinger,2016,104,239,24,86,39,56
Brian Roberts,2016,74,165,15,42,42,47
Darrun Hilliard,2016,52,132,19,50,29,40
Anthony Brown,2016,39,126,20,70,17,20
Kevin Seraphin,2016,84,205,0,2,19,23
Chris Andersen,2016,38,72,4,14,25,36
Delon Wright,2016,36,81,5,13,26,35
Glenn Robinson,2016,65,151,14,37,27,39
Salah Mejri,2016,49,78,0,1,27,46
