Season,Player,Pos,Age,Tm,G,GS,MP,FGM,FGA,TPM,TPA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2016,Jeremy Evans,SF,28,DAL,30,2,251,26,48,4,16,15,21,11,43,2,6,9,7,19,71
2016,Tyreke Evans,SG,26,NOP,25,25,765,136,314,33,85,74,93,20,109,164,32,8,73,66,379
2016,Festus Ezeli,C,26,GSW,46,13,770,125,228,0,0,70,132,91,166,32,18,50,38,94,320
2016,Kenneth Faried,PF,26,DEN,67,64,1694,349,626,1,2,136,222,235,346,79,32,60,91,169,835
2016,Jordan Farmar,PG,29,MEM,12,10,291,42,100,16,45,10,10,4,21,37,15,2,18,22,110
2016,Derrick Favors,PF,24,UTA,62,59,1983,418,811,0,4,180,254,169,334,94,74,91,104,150,1016
2016,Cristiano Felicio,C,23,CHI,31,4,321,40,72,0,4,25,35,30,72,26,6,13,13,31,105
2016,Raymond Felton,PG,31,DAL,80,31,2192,277,682,60,213,149,176,36,222,284,68,15,121,141,763
2016,Evan Fournier,SF,23,ORL,79,71,2566,429,929,156,390,199,238,33,192,213,96,2,133,214,1213
2016,Randy Foye,SG,32,TOT,81,8,1642,169,482,75,250,61,74,24,132,161,39,29,86,131,474
2016,Randy Foye,SG,32,DEN,54,7,1070,117,333,50,169,39,47,16,89,112,26,16,58,83,323
2016,Randy Foye,SG,32,OKC,27,1,572,52,149,25,81,22,27,8,43,49,13,13,28,48,151
2016,Tim Frazier,PG,25,TOT,51,2,741,96,229,16,48,53,74,26,84,162,33,2,65,73,261
2016,Tim Frazier,PG,25,POR,35,1,272,20,60,3,17,8,15,11,28,42,10,1,27,31,51
2016,Tim Frazier,PG,25,NOP,16,1,469,76,169,13,31,45,59,15,56,120,23,1,38,42,210
2016,Jimmer Fredette,SG,26,TOT,6,0,18,2,5,1,2,4,5,0,0,1,1,0,2,2,9
2016,Jimmer Fredette,SG,26,NOP,4,0,13,1,4,0,1,0,0,0,0,1,1,0,1,1,2
2016,Jimmer Fredette,SG,26,NYK,2,0,5,1,1,1,1,4,5,0,0,0,0,0,1,1,7
2016,Channing Frye,PF-C,32,TOT,70,32,1200,152,347,91,235,30,35,35,199,71,29,28,43,127,425
2016,Channing Frye,PF,32,ORL,44,29,754,81,186,48,121,19,21,23,118,45,21,20,30,71,229
2016,Channing Frye,C,32,CLE,26,3,446,71,161,43,114,11,14,12,81,26,8,8,13,56,196
2016,Danilo Gallinari,SF,27,DEN,53,53,1839,287,700,87,239,375,432,52,229,135,42,19,77,87,1036
2016,Langston Galloway,PG,24,NYK,82,7,2033,231,588,77,224,86,114,43,245,207,77,22,61,177,625
2016,Kevin Garnett,PF,39,MIN,38,38,556,54,115,0,1,14,21,15,135,62,28,10,16,70,122
2016,Marc Gasol,C,31,MEM,52,52,1791,328,707,2,3,203,245,58,304,196,50,70,118,141,861
2016,Pau Gasol,C,35,CHI,72,72,2291,467,995,24,69,229,289,155,638,294,42,146,164,148,1187
2016,Rudy Gay,SF,29,SAC,70,70,2379,466,1007,74,215,198,254,103,353,120,100,51,139,184,1204
2016,Alonzo Gee,SF,28,NOP,73,38,1632,132,255,17,60,44,66,60,185,72,63,13,55,169,325
2016,Paul George,SF,25,IND,81,81,2819,605,1449,210,566,454,528,79,484,329,152,29,265,230,1874
2016,Taj Gibson,PF,30,CHI,73,55,1936,263,500,0,3,101,146,206,298,106,47,77,78,180,627
2016,Manu Ginobili,SG,38,SAS,58,0,1134,197,435,70,179,91,112,26,120,177,66,11,99,99,555
2016,Rudy Gobert,C,23,UTA,61,60,1932,198,354,0,0,161,283,208,460,91,45,135,114,163,557
2016,Drew Gooden,PF,34,WAS,30,0,305,33,103,7,41,9,14,28,57,13,8,11,13,40,82
2016,Archie Goodwin,PG,21,PHO,57,13,1114,176,422,23,99,130,193,27,115,118,27,13,100,84,505
2016,Aaron Gordon,PF,20,ORL,78,37,1863,274,579,42,142,129,193,154,353,128,59,55,66,153,719
2016,Eric Gordon,SG,27,NOP,45,44,1481,231,552,113,294,111,125,10,89,121,43,14,73,98,686
2016,Marcin Gortat,C,31,WAS,75,74,2256,433,764,0,1,146,207,222,519,106,47,96,121,193,1012
2016,Andrew Goudelock,PG,27,HOU,8,0,50,9,20,1,9,3,4,1,1,4,6,2,7,4,22
2016,Jerami Grant,SF,21,PHI,77,52,2066,251,599,35,146,212,322,99,262,135,54,127,110,215,749
2016,Jerian Grant,PG,23,NYK,76,6,1265,154,391,22,100,96,123,23,120,177,50,10,87,97,426
2016,Danny Green,SG,28,SAS,79,79,2062,211,561,116,349,34,46,48,255,141,79,64,75,141,572
2016,Draymond Green,PF,25,GSW,81,81,2808,401,819,100,258,229,329,134,635,598,119,113,259,240,1131
2016,Erick Green,PG,24,TOT,9,0,42,5,13,1,5,2,2,3,3,3,1,0,0,4,13
2016,Erick Green,PG,24,DEN,3,0,7,0,1,0,1,0,0,0,1,1,0,0,0,0,0
2016,Erick Green,PG,24,UTA,6,0,35,5,12,1,4,2,2,3,2,2,1,0,0,4,13
2016,Gerald Green,SG,30,MIA,69,14,1557,230,587,84,260,72,92,25,138,56,38,19,46,123,616
2016,JaMychal Green,PF,25,MEM,78,15,1446,230,495,15,45,103,137,139,234,67,46,33,83,189,578
2016,Jeff Green,SF,29,TOT,80,41,2253,354,824,67,213,164,220,74,258,138,58,40,93,164,939
2016,Jeff Green,SF,29,MEM,53,31,1544,240,557,42,136,124,155,55,186,98,40,19,69,102,646
2016,Jeff Green,SF,29,LAC,27,10,709,114,267,25,77,40,65,19,72,40,18,21,24,62,293
