Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,7.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,7.5,GEAR Dennis,NZL
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,7.5,BOYS Beverley,CAN
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,8,JOHNSON Bente,NOR
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,7,BOUSSARD Michel,FRA
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,7.5,CALDERON Felix,PUR
M3mSB,3 - Final,PULLAR Dean,AUS,5,4,3,7,CRUZ Julia,ESP
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,7.5,GEAR Dennis,NZL
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,7.5,BOYS Beverley,CAN
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,8,JOHNSON Bente,NOR
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,7.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,8,CALDERON Felix,PUR
M3mSB,3 - Final,PULLAR Dean,AUS,5,5,3.3,7.5,CRUZ Julia,ESP
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,8,GEAR Dennis,NZL
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,8,BOYS Beverley,CAN
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,7.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,8,CALDERON Felix,PUR
M3mSB,3 - Final,PULLAR Dean,AUS,5,6,3,8,CRUZ Julia,ESP
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,8.5,GEAR Dennis,NZL
