"Team","Year","GameMinute","Kicker","Distance","ScoreDiff","Grass","Success"
"WAS",2015,11,"Hopkins",25,2,TRUE,1
"SD",2015,59,"Lambo",45,-3,TRUE,1
"NE",2015,34,"Gostkowski",49,11,TRUE,1
"CIN",2015,37,"Nugent",22,21,TRUE,1
"NYJ",2015,19,"Folk",35,0,FALSE,1
"CHI",2015,30,"Gould",50,0,TRUE,1
"CHI",2015,42,"Gould",30,-14,TRUE,1
"CHI",2015,49,"Gould",37,11,FALSE,1
"NYJ",2015,30,"Folk",48,10,FALSE,0
"SEA",2015,7,"Hauschka",26,0,FALSE,1
"NYG",2015,34,"Brown",35,8,TRUE,1
"STL",2015,19,"Zuerlein",61,-4,FALSE,1
"PHI",2015,57,"Sturgis",30,0,TRUE,1
"SD",2015,12,"Lambo",36,-7,FALSE,1
"DAL",2015,44,"Bailey",23,-17,FALSE,1
"SEA",2015,37,"Hauschka",50,10,FALSE,1
"MIN",2015,57,"Walsh",34,6,TRUE,1
"PHI",2015,50,"Sturgis",37,-4,TRUE,1
"CHI",2015,60,"Gould",49,-1,TRUE,1
"WAS",2015,29,"Hopkins",28,3,TRUE,1
"CHI",2015,29,"Gould",19,-1,TRUE,1
"SF",2015,5,"Dawson",54,0,FALSE,1
"DAL",2015,11,"Bailey",21,0,FALSE,1
"BAL",2015,5,"Tucker",48,0,FALSE,1
"DET",2015,8,"Prater",29,0,FALSE,1
"DET",2015,44,"Prater",39,5,FALSE,1
"NO",2015,60,"Hocker",30,0,FALSE,0
"NO",2015,29,"Forbath",23,7,TRUE,1
"GB",2015,56,"Crosby",29,14,TRUE,1
"DAL",2015,30,"Bailey",28,3,TRUE,1
"NYG",2015,30,"Brown",35,7,FALSE,1
"STL",2015,60,"Zuerlein",53,-3,FALSE,1
"MIA",2015,20,"Franks",41,-7,TRUE,1
"NO",2015,33,"Hocker",23,-4,TRUE,1
"NE",2015,22,"Gostkowski",34,-3,TRUE,1
"CHI",2015,27,"Gould",26,0,TRUE,1
"PIT",2015,8,"Scobee",21,0,FALSE,1
"DAL",2015,25,"Bailey",32,0,FALSE,1
"NE",2015,45,"Gostkowski",35,7,FALSE,1
"DAL",2015,60,"Bailey",44,-3,FALSE,1
"IND",2015,18,"Vinatieri",43,7,FALSE,1
"JAC",2015,35,"Myers",31,-6,TRUE,1
"HOU",2015,30,"Bullock",34,-21,TRUE,1
"NYG",2015,4,"Brown",35,0,TRUE,1
"NYJ",2015,48,"Folk",30,1,FALSE,1
"WAS",2015,30,"Hopkins",23,-17,FALSE,1
"IND",2015,58,"Vinatieri",35,3,FALSE,1
"ATL",2015,4,"Bryant",41,0,FALSE,1
"NYG",2015,5,"Brown",47,0,FALSE,1
"TB",2015,58,"Barth",21,3,TRUE,1
